,article,2mass,skrutskie,bibcode,doi
0,@ARTICLE{2017MNRAS.470L..97G,yes,yes,2017MNRAS.470L..97G,10.1093/mnrasl/slx083
1,@ARTICLE{2017SerAJ.194...59A,yes,yes,2017SerAJ.194...59A,10.2298/SAJ160802003A
2,@ARTICLE{2017Sci...356.1046S,yes,yes,2017Sci...356.1046S,10.1126/science.aal2879
3,@ARTICLE{2017Natur.546..514G,yes,yes,2017Natur.546..514G,10.1038/nature22392
4,@ARTICLE{2017NatAs...1E.116G,yes,yes,2017NatAs...1E.116G,10.1038/s41550-017-0116
5,@ARTICLE{2017MNRAS.468.2114P,no,yes,2017MNRAS.468.2114P,10.1093/mnras/stx501
6,@ARTICLE{2017MNRAS.468.2081G,yes,yes,2017MNRAS.468.2081G,10.1093/mnras/stx650
7,@ARTICLE{2017MNRAS.468.1092C,yes,yes,2017MNRAS.468.1092C,10.1093/mnras/stx484
8,@ARTICLE{2017MNRAS.468..857K,no,yes,2017MNRAS.468..857K,10.1093/mnras/stx509
9,@ARTICLE{2017MNRAS.468..662R,yes,yes,2017MNRAS.468..662R,10.1093/mnras/stx394
10,@ARTICLE{2017MNRAS.468..492P,yes,yes,2017MNRAS.468..492P,10.1093/mnras/stx410
11,@ARTICLE{2017MNRAS.468..261Z,no,yes,2017MNRAS.468..261Z,10.1093/mnras/stx350
12,@ARTICLE{2017MNRAS.468..196T,yes,yes,2017MNRAS.468..196T,10.1093/mnras/stx456
13,@ARTICLE{2017MNRAS.468..180R,yes,yes,2017MNRAS.468..180R,10.1093/mnras/stx447
14,@ARTICLE{2017MNRAS.468..109W,yes,yes,2017MNRAS.468..109W,10.1093/mnras/stx416
15,@ARTICLE{2017MNRAS.467.5001C,yes,yes,2017MNRAS.467.5001C,10.1093/mnras/stx303
16,@ARTICLE{2017MNRAS.467.4914V,yes,yes,2017MNRAS.467.4914V,10.1093/mnras/stx424
17,@ARTICLE{2017MNRAS.467.4514C,yes,yes,2017MNRAS.467.4514C,10.1093/mnras/stx408
18,@ARTICLE{2017MNRAS.467.4264G,yes,yes,2017MNRAS.467.4264G,10.1093/mnras/stx334
19,@ARTICLE{2017MNRAS.467.4015H,yes,yes,2017MNRAS.467.4015H,10.1093/mnras/stx175
20,@ARTICLE{2017MNRAS.467.2517S,yes,yes,2017MNRAS.467.2517S,10.1093/mnras/stx177
21,@ARTICLE{2017JKAS...50...79K,yes,yes,2017JKAS...50...79K,10.5303/JKAS.2017.50.3.79
22,@ARTICLE{2017JKAS...50...71C,yes,yes,2017JKAS...50...71C,10.5303/JKAS.2017.50.3.71
23,@ARTICLE{2017JKAS...50...51L,no,yes,2017JKAS...50...51L,10.5303/JKAS.2017.50.3.51
24,@ARTICLE{2017ApJS..230...23V,yes,yes,2017ApJS..230...23V,10.3847/1538-4365/aa72ed
25,@ARTICLE{2017ApJ...842..123F,yes,yes,2017ApJ...842..123F,10.3847/1538-4357/aa74ca
26,@ARTICLE{2017ApJ...842...65Z,yes,yes,2017ApJ...842...65Z,10.3847/1538-4357/aa70ec
27,@ARTICLE{2017ApJ...842...24J,yes,yes,2017ApJ...842...24J,10.3847/1538-4357/aa7414
28,@ARTICLE{2017ApJ...841..108M,yes,yes,2017ApJ...841..108M,10.3847/1538-4357/aa7050
29,@ARTICLE{2017ApJ...841...81H,yes,yes,2017ApJ...841...81H,10.3847/1538-4357/aa6f07
30,@ARTICLE{2017ApJ...841...73K,yes,yes,2017ApJ...841...73K,10.3847/1538-4357/aa7065
31,@ARTICLE{2017Ap.....60..300K,yes,yes,2017Ap.....60..300K,10.1007/s10511-017-9483-8
32,@ARTICLE{2017AN....338..635R,yes,yes,2017AN....338..635R,10.1002/asna.201713379
33,@ARTICLE{2017AN....338..629C,yes,yes,2017AN....338..629C,10.1002/asna.201713312
34,@ARTICLE{2017AJ....153..276Z,yes,yes,2017AJ....153..276Z,10.3847/1538-3881/aa72d9
35,@ARTICLE{2017AJ....153..267M,yes,yes,2017AJ....153..267M,10.3847/1538-3881/aa7140
36,@ARTICLE{2017AJ....153..263M,yes,yes,2017AJ....153..263M,10.3847/1538-3881/aa6d5d
37,@ARTICLE{2017AJ....153..259O,yes,yes,2017AJ....153..259O,10.3847/1538-3881/aa6d55
38,@ARTICLE{2017AJ....153..256R,yes,yes,2017AJ....153..256R,10.3847/1538-3881/aa6dfb
39,@ARTICLE{2017AJ....153..252L,yes,yes,2017AJ....153..252L,10.3847/1538-3881/aa6396
40,@ARTICLE{2017AcA....67..131O,yes,yes,2017AcA....67..131O,
41,@ARTICLE{2017A&A...602A.124R,yes,yes,2017A&A...602A.124R,
42,@ARTICLE{2017A&A...602A..95L,yes,yes,2017A&A...602A..95L,
43,@ARTICLE{2017A&A...602A..82D,yes,yes,2017A&A...602A..82D,
44,@ARTICLE{2017A&A...602A..67A,yes,yes,2017A&A...602A..67A,
