,article,2mass,skrutskie,bibcode,doi
0,@ARTICLE{2017Sci...358.1565E,yes,yes,2017Sci...358.1565E,10.1126/science.aap9580
1,@ARTICLE{2017PASP..129l4204L,no,yes,2017PASP..129l4204L,10.1088/1538-3873/aa8ded
2,@ARTICLE{2017PASJ..tmp...21U,yes,yes,2017PASJ..tmp...21U,
3,@ARTICLE{2017PASJ..tmp...19A,no,yes,2017PASJ..tmp...19A,
4,@ARTICLE{2017PASJ...69..101U,yes,yes,2017PASJ...69..101U,10.1093/pasj/psx118
5,@ARTICLE{2017PASJ...69...99H,yes,yes,2017PASJ...69...99H,10.1093/pasj/psx117
6,@ARTICLE{2017PASA...34...68R,yes,yes,2017PASA...34...68R,10.1017/pasa.2017.64
7,@ARTICLE{2017P&SS..149...56S,no,yes,2017P&SS..149...56S,
8,@ARTICLE{2017MNRAS.472.3624P,yes,yes,2017MNRAS.472.3624P,10.1093/mnras/stx2196
9,@ARTICLE{2017MNRAS.472.3512T,yes,yes,2017MNRAS.472.3512T,10.1093/mnras/stx2245
10,@ARTICLE{2017MNRAS.472.3093A,no,yes,2017MNRAS.472.3093A,10.1093/mnras/stx2150
11,@ARTICLE{2017MNRAS.472.3074P,yes,yes,2017MNRAS.472.3074P,10.1093/mnras/stx2091
12,@ARTICLE{2017MNRAS.472.2181K,yes,yes,2017MNRAS.472.2181K,10.1093/mnras/stx2106
13,@ARTICLE{2017MNRAS.472.1372L,no,yes,2017MNRAS.472.1372L,10.1093/mnras/stx1901
14,@ARTICLE{2017JApA...38...72J,yes,yes,2017JApA...38...72J,10.1007/s12036-017-9492-3
15,@ARTICLE{2017CeMDA.129..509B,no,yes,2017CeMDA.129..509B,10.1007/s10569-017-9783-7
16,@ARTICLE{2017ApJ...851L..47G,no,yes,2017ApJ...851L..47G,10.3847/2041-8213/aaa0c2
17,@ARTICLE{2017ApJ...851L..29M,yes,yes,2017ApJ...851L..29M,10.3847/2041-8213/aa9d87
18,@ARTICLE{2017ApJ...851..152B,no,yes,2017ApJ...851..152B,10.3847/1538-4357/aa9892
19,@ARTICLE{2017ApJ...851...85B,no,yes,2017ApJ...851...85B,10.3847/1538-4357/aa989d
20,@ARTICLE{2017ApJ...851...83C,yes,yes,2017ApJ...851...83C,10.3847/1538-4357/aa97e2
21,@ARTICLE{2017ApJ...851...77R,no,yes,2017ApJ...851...77R,10.3847/1538-4357/aa991e
22,@ARTICLE{2017ApJ...851...45S,yes,yes,2017ApJ...851...45S,10.3847/1538-4357/aa9990
23,@ARTICLE{2017ApJ...851...39G,no,yes,2017ApJ...851...39G,10.3847/1538-4357/aa978c
24,@ARTICLE{2017ApJ...851...31S,yes,yes,2017ApJ...851...31S,10.3847/1538-4357/aa9937
25,@ARTICLE{2017ApJ...851...14J,yes,yes,2017ApJ...851...14J,10.3847/1538-4357/aa9924
