Using ADS Bumblebee for 2mass,,,
,,,
3/6/2018,,,
,,,
pubdate:[2017-6 TO 2017-12] citations(bibcode:2006AJ....131.1163S) property:refereed database:astronomy ,,,
,,,
,,,
315 results (interestingly, within 1 of the first six months' total!),,
,,,
,,,
@ARTICLE{2017Sci...358.1583K, YES,,
@ARTICLE{2017Sci...358.1570D, YES,,
@ARTICLE{2017Sci...358.1559K, YES,,
@ARTICLE{2017Sci...358.1556C, YES,,
@ARTICLE{2017PhRvD..96l4005B, YES,,
@ARTICLE{2017OAst...26..219K, YES,,
@ARTICLE{2017NatAs...1..886M, YES,,
@ARTICLE{2017MNRAS.472.4750D, YES,,
@ARTICLE{2017MNRAS.472.4563M, YES,,
@ARTICLE{2017MNRAS.472.4259D, YES also spitzer, AKARI,
@ARTICLE{2017MNRAS.472.4173R, YES also wise,,
@ARTICLE{2017MNRAS.472.3924C, YES also wise,,
@ARTICLE{2017MNRAS.472.3805G, YES also wise,,
@ARTICLE{2017MNRAS.472.3789C, YES,,
@ARTICLE{2017MNRAS.472.3492E, YES also wise, ukidds,
@ARTICLE{2017MNRAS.472.2990L, YES also wise, spitzer,
@ARTICLE{2017MNRAS.472.2963Y, YES also wise,,
@ARTICLE{2017MNRAS.472.2856S, YES also keck hires(!),,
@ARTICLE{2017MNRAS.472.2517J, YES,,
@ARTICLE{2017MNRAS.472.2297M, YES also wise,,
@ARTICLE{2017MNRAS.472.1760G, YES,,
@ARTICLE{2017MNRAS.472.1482O, YES,,
@ARTICLE{2017MNRAS.472.1300W, YES,,
@ARTICLE{2017JAVSO..45..173S, **can't get to published article,,
@ARTICLE{2017JAVSO..45..148S, **can't get to published article,,
@ARTICLE{2017ApJS..233...20L, YES,,
@ARTICLE{2017ApJS..233...17R, YES also wise akari iras,,
@ARTICLE{2017ApJ...851L..15K, YES also wise,,
@ARTICLE{2017ApJ...851..132C, YES,,
@ARTICLE{2017ApJ...851...90B, YES ,,
@ARTICLE{2017ApJ...851...87O, YES,,
@ARTICLE{2017ApJ...851...69S, YES,,
@ARTICLE{2017ApJ...851...66H, YES,,
@ARTICLE{2017ApJ...851...56W, YES also wise spitzer herschel,,
@ARTICLE{2017ApJ...851...46F, YES,,
@ARTICLE{2017ApJ...851...13S, YES also wise,,
@ARTICLE{2017ApJ...850..195E, YES also wise,,
@ARTICLE{2017ApJ...850..179C, YES also wise,,
@ARTICLE{2017Ap&SS.362..228P, YES also galex,,
@ARTICLE{2017AJ....154..274W, YES also akari iras wise,,
@ARTICLE{2017AJ....154..268M, YES also spitzer wise akari,,
@ARTICLE{2017AJ....154..266N, YES,,
@ARTICLE{2017AJ....154..262M, YES,,
@ARTICLE{2017AJ....154..260P, YES,,
@ARTICLE{2017AJ....154..259S, YES,,
@ARTICLE{2017AJ....154..224R, YES and ppmxl gaia,,
@ARTICLE{2017AJ....154..218N, YES,,
@ARTICLE{2017A&A...608A.148Z, YES and gaia,,
@ARTICLE{2017A&A...608A.142V, YES,,
@ARTICLE{2017A&A...608A.141T, YES,,
@ARTICLE{2017A&A...608A.129T, YES,,
@ARTICLE{2017A&A...608A.106B, YES and wise,,
